id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
39377,SHLP,heliport,"La Parva Heliport",-33.328887939453125,-70.28333282470703,9080,SA,Chile,CL,"Santiago Metropolitan Region",CL-RM,RM,Farellones,0,SHLP,,,,,,25,2008-07-12T07:28:01+00:00
39372,SHIQ,heliport,"Cuartel Gral. VI División de Ejercito Heliport",-20.229999542236328,-70.1449966430664,26,SA,Chile,CL,"Tarapacá Region",CL-TA,TA,Iquique,0,SHIQ,,,,,,25,2008-07-12T07:27:56+00:00
39336,SHBP,heliport,"Bahía Los Primos Heliport",-34.11083221435547,-71.5352783203125,574,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,"La Estrella",0,SHBP,,,,,,25,2008-07-12T07:27:23+00:00
39394,SHRP,heliport,"Rapel Heliport",-34.21277618408203,-71.45305633544922,394,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,"Las Cabras",0,SHRP,,,,,,25,2008-07-12T07:28:17+00:00
39359,SHFR,heliport,"San Francisco Heliport",-34.15972137451172,-71.75166320800781,935,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,Litueche,0,SHFR,,,,,,25,2008-07-12T07:27:44+00:00
39390,SHPT,heliport,"Portillo Heliport",-32.836387634277344,-70.13111114501953,9000,SA,Chile,CL,"Valparaíso Region",CL-VS,VS,"Los Andes",0,SHPT,,,,,,25,2008-07-12T07:28:13+00:00
39411,SHTR,heliport,"Sotracer Heliport",-37.478611,-72.326668,486,SA,Chile,CL,"Bío-Bío Region",CL-BI,BI,"Los Angeles",0,SHTR,,,,,,25,2021-10-16T11:49:01+00:00
39363,SHHE,heliport,"Helicopters Heliport",-34.21055603027344,-70.71583557128906,1837,SA,Chile,CL,"O'Higgins Region",CL-LI,LI,Machali,0,SHHE,,,,,,25,2008-07-12T07:27:48+00:00
39330,SHAG,heliport,"Anguila 1 Heliport",-52.49944305419922,-68.72555541992188,66,SA,Chile,CL,"Magallanes Region",CL-MA,MA,Magallanes,0,SHAG,,,,,,25,2008-07-12T07:27:17+00:00
39346,SHDG,heliport,"Batería Dungenes Nº 1 Heliport",-52.38083267211914,-68.43138885498047,25,SA,Chile,CL,"Magallanes Region",CL-MA,MA,Magallanes,0,SHDG,,,,,,25,2008-07-12T07:27:32+00:00
